Year,Jurisdiction,All students,Average scale score
2015,National,All students,153.936115758142
2015,National public,All students,152.893735753314
2011,National,All students,151.7349142084
2011,National public,All students,150.740504556036
2011,National private,All students,163.041221877051
2011,Large city,All students,137.045409111991
2009,National,All students,150.002878500897
2009,National public,All students,148.659925761459
2009,National private,All students,164.104616222842
2009,Large city,All students,133.668216690119
,,,
